CustomerID,Age,Gender,Income,SpendingScore,PurchaseFrequency
C001,22,Male,25000,85,12
C002,45,Female,85000,30,4
C003,31,Male,45000,65,8
C004,28,Female,35000,78,10
C005,52,Male,95000,20,2
C006,24,Female,28000,88,13
C007,36,Male,55000,55,7
C008,41,Female,70000,40,5
C009,29,Male,40000,75,9
C010,55,Female,100000,15,1
C011,26,Female,30000,82,11
C012,48,Male,80000,35,3
C013,33,Female,50000,60,8
C014,27,Male,32000,80,10
C015,60,Female,110000,10,1
C016,23,Male,27000,90,14
C017,39,Female,65000,45,6
C018,30,Male,42000,70,9
C019,50,Female,90000,25,2
C020,25,Male,29000,87,12